Category,Url,Product Title,SKU,Price,Save percent,Product list price,Image url,Product details,UPC,Available Options,Manufacturer Resources,Product Gallery,About the Manufacturer,Collection
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0014220000-multiple-vario-connector-set-for-horizontal-or-vertical-outlet-included-excenter.html,Duravit 0014220000 Multiple Vario Connector Set For Horizontal Or Vertical Outlet Included Excenter,0014220000,$83.93, 30%,$120.00,https://www.kbauthority.com/images/T/33/51152_web2_prod_normal_2-01.jpg,"Duravit 0014220000 Multiple Vario Connector Set For Horizontal Or Vertical Outlet Included Excenter
	All drawings contain the necessary measurements which are subject to standard tolerances. They are stated in mm, are drawn on a scale of 1:20 and are non-binding.Exact measurements, in particular for customised installation scenarios, can only be taken from the finished ceramic piece.
SKU: 0014220000",04021534000249,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0014310000-multiple-instalation-kit-for-one-piece-and-two-piece-toilet-3-8-inch-us-version.html,Duravit 0014310000 Multiple Instalation Kit For One Piece And Two Piece Toilet 3/8 Inch US-Version,0014310000,$83.93, 30%,$120.00,https://www.kbauthority.com/images/T/33/253405_web2_prod_normal_2-01.jpg,"Duravit 0014310000 Multiple Installation Kit For One Piece And Two Piece Toilet 3/8 Inch US-Version
		For One-piece and Two-piece toilets, 1/2'', US-version
		Installation Kit
SKU: 0014310000",04021534147814,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0014510000-piston-assembly.html,Duravit 0014510000 Piston Assembly,0014510000,$40.81,  9%,$45.00,https://www.kbauthority.com/images/T/138/logo-7676.png,"Duravit 0014510000 Piston AssemblyDuravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.Features:Piston AssemblySKU: 0014510000",04021534219948,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0014520000-fill-valve-repair-kit.html,Duravit 0014520000 Fill Valve Repair Kit,0014520000,$32.19,0%,$0,https://www.kbauthority.com/images/T/314/0014520000_Duravit.jpg,"Duravit 0014520000 Fill Valve Repair KitDuravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.Features:Fill Valve Repair KitSKU: 0014520000",04021534219955,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050000000-multiple-fixing-hooks-for-urinals-and-basins.html,Duravit 0050000000 Multiple Fixing Hooks For Urinals And Basins,0050000000,$35.06,0%,$0,https://www.kbauthority.com/images/T/33/51229_web2_prod_normal_2-01.jpg,"Duravit 0050000000 Multiple Fixing Hooks For Urinals And Basins
SKU: 0050000000",04021534003219,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050090000-multiple-tail-piece-adapter-for-us-1-1-4-x-7-7-8-inch-included-washer-and-cap-nut.html,Duravit 0050090000 Multiple Tail Piece Adapter For US 1-1/4 x 7-7/8 Inch Included Washer And Cap Nut,0050090000,$29.31,0%,$0,https://www.kbauthority.com/images/T/64/0050090000.gif,"Duravit 0050090000 Multiple Tail Piece Adapter For US 1-1/4 x 7-7/8 Inch Included Washer And Cap Nut
SKU: 0050090000",04021534379475,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050190000-noise-reduction-gasket-for-wall-mounted-bidet-and-wall-mounted-toilet.html,Duravit 0050190000 Noise Reduction Gasket for Wall-Mounted Bidet and Wall-Mounted Toilet,0050190000,$75.30, 28%,$105.00,https://www.kbauthority.com/images/T/310/logo-7677.png,"Duravit 0050190000 Noise Reduction Gasket for Wall-Mounted Bidet and Wall-Mounted ToiletDuravit has been the proud recipient of numerous international design awards.These awards celebrate bold design, which has become Duravit’s hallmark over the years.Each Duravit designer is a specialist in his field – a prominent global innovator with an inherent sense for good design. Good design, as Duravit and its designers see it, is never at the expense of practicality – neither is interested in “design for design’s sake”.That’s you, the bathroom user, and your own set of needs and requirements. Thanks to an ongoing dialogue with its trade partners and sanitary ware dealers, Duravit is best able to address these needs and requirements in the brand’s designs. Simply put, Duravit recognizes good bathroom design by the fact that it seems specially-created to suit all individual tastes.This fusion of Duravit’s environmentally-friendly production technologies with the company’s meticulous quality control results in products that are highly functional and long-lasting.At Duravit, sustainable materials, modern expertise and the foresight to recognize what will be important tomorrow comprise the essential ingredients for beautiful – and responsible – living bathrooms.Features:Noise Reduction Gasket for Wall-Mounted Bidet and Wall-Mounted ToiletSKU: 0050190000",04021534305948,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050241092-multiple-slotted-waste-2-inch-tail-piece-included.html,Duravit 0050241092 Multiple Slotted Waste 2 Inch Tail-Piece Included,0050241092,$83.93, 30%,$120.00,https://www.kbauthority.com/images/T/33/51315_web2_prod_normal_2-01.jpg,"Duravit 0050241092 Multiple Slotted Waste 2 Inch Tail-Piece Included
SKU: 0050241092",04021534450518,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050251000-multiple-outlet-bow-with-double-sleeve-chrome.html,Duravit 0050251000 Multiple Outlet Bow With Double Sleeve Chrome,0050251000,$32.19,0%,$0,https://www.kbauthority.com/images/T/33/51326_web2_prod_normal_2-01.jpg,"Duravit 0050251000 Multiple Outlet Bow With Double Sleeve Chrome
SKU: 0050251000",04021534003363,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050260000-multiple-siphon-1-1-4-inch-fot-washbasin-outlet-pipe-1-1-4-inch-chrome.html,Duravit 0050260000 Multiple Siphon 1-1/4 Inch Fot Washbasin Outlet Pipe 1-1/4 Inch Chrome,0050260000,$37.94,0%,$0,https://www.kbauthority.com/images/T/33/127043_web2_prod_normal_2-01.jpg,Duravit 0050260000 Multiple Siphon 1-1/4 Inch Fot Washbasin Outlet Pipe 1-1/4 Inch Chrome,04021534003370,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050270092-multiple-siphon-for-bidet-1-1-4-inch-with-extended-outlet-pipe-chrome.html,Duravit 0050270092 Multiple Siphon For Bidet 1-1/4 Inch With Extended Outlet Pipe Chrome,0050270092,$37.94,  5%,$40.00,https://www.kbauthority.com/images/T/33/51337_web2_prod_normal_2-01.jpg,"Duravit 0050270092 Multiple Siphon For Bidet 1-1/4 Inch With Extended Outlet Pipe Chrome
SKU: 0050270092",04021534326097,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050280000-multiple-fixing-set-for-undercounter-basins-for-stone-countertops.html,Duravit 0050280000 Multiple Fixing Set For Undercounter Basins For Stone Countertops,0050280000,$35.06,0%,$0,https://www.kbauthority.com/images/T/33/51348_web2_prod_normal_2-01.jpg,"Duravit 0050280000 Multiple Fixing Set For Undercounter Basins For Stone Countertops
SKU: 0050280000",04021534003394,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050301000-multiple-fixing-set-for-urinals-caps-chrome.html,Duravit 0050301000 Multiple Fixing Set For Urinals Caps Chrome,0050301000,$26.44,0%,$0,https://www.kbauthority.com/images/T/33/51359_web2_prod_normal_2-01.jpg,"Duravit 0050003010 Multiple Fixing Set For Urinals Caps Chrome
SKU: 0050003010",04021534154218,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050311092-multiple-pop-up-basin-waste-horizantal-level-tail-piece-included.html,Duravit 0050311092 Multiple Pop-UP Basin Waste Horizantal Level Tail-Piece Included,0050311092,$83.93, 30%,$120.00,https://www.kbauthority.com/images/T/22/51370_web2_prod_normal_2-01.jpg,"Duravit 0050311092 Multiple Pop-UP Basin Waste Horizantal Level Tail-Piece Included
SKU: 0050311092",04021534450549,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
Home > Bath > All Bath Brands > Duravit>Parts,https://www.kbauthority.com/duravit-0050371000-multiple-instalation-kit-for-stone-countertops-santosa.html,Duravit 0050371000 Multiple Instalation Kit For Stone Countertops Santosa,0050371000,$32.19,0%,$0,https://www.kbauthority.com/images/T/33/51392_web2_prod_normal_2-01.jpg,"Duravit 0050371000 Multiple Instalation Kit For Stone Countertops Santosa
	SKU: 0050371000",04021534216565,,,,"It all began in Hornberg, Germany in 1817 when Georg Friedrich Horn built an earthenware factory initially focused solely on the manufacture of crockery. In 1956, production evolved from earthenware to porcelain, extending the product range to include sanitary ceramics. This provided a platform for future success and also introduced the sanitary world to a new name: Duravit. Today, Duravit AG operates at an international level and boasts 10 production plants with a workforce of more than 5,000 employees worldwide.",P3 Comforts
